A001,"FEATURES
",CALAMARI BRAVAS,Unnamed: 3,Unnamed: 4,"tender ocean wise™ humboldt squid, peppers, jalapeños, dill, tzatziki, paprika aioli",$19 ,Unnamed: 7,"New, gluten-smart",417,1000,77,10,0.2,500,1260,45,2,4,36
A002,"FEATURES
",HOT CHICKEN + PICKLES,,,"crispy fried chicken, nashville spice, honey, creamy parmesan dip",$18 ,,"New, gluten-smart",322.0,1060.0,70.0,10.0,0.2,160.0,1360.0,58.0,2.0,14.0,54.0
A003,"FEATURES
",TRUFFLE CHICKEN,,,"parmesan crusted chicken breast, roasted mushrooms, potato gnocchi, truffle mushroom cream sauce, arugula",$31 ,,New,498.0,1400.0,97.0,24.0,1.0,295.0,2320.0,50.0,5.0,4.0,82.0
A004,SUSHI,"SPICY AHI ROLL
",,,"ocean wise™ ahi tuna, mango, avocado, cucumber, sesame soy paper, wasabi mayo, crispy yam curls",$18.75 ,,,265.0,440.0,12.0,1.0,0.0,25.0,1380.0,63.0,5.0,10.0,17.0
A005,SUSHI,"PRAWN CRUNCH ROLL
",,,"crispy prawn, mango, avocado, cucumber, sesame soy paper, sriracha mayo, soy glaze",$17.75 ,,,270.0,560.0,23.0,1.5,0.1,85.0,1430.0,68.0,4.0,10.0,15.0
A006,"START + SHARE
",CALAMARI BRAVAS,,,"tender ocean wise™ humboldt squid, peppers, jalapeños, dill, tzatziki, paprika aioli",$19 ,,"New, gluten-smart",417.0,1000.0,77.0,10.0,0.2,500.0,1260.0,45.0,2.0,4.0,36.0
A007,"START + SHARE
",CRAB CAKE,,,"panko-crusted canadian rock crab, prawn, cucumber, arugula, green goddess dressing",$18.50 ,,New,204.0,540.0,48.0,9.0,0.5,95.0,490.0,15.0,2.0,1.0,15.0
A008,"START + SHARE
",HOT CHICKEN + PICKLES,,,"crispy fried chicken, nashville spice, honey, creamy parmesan dip",$18 ,,"New, gluten-smart",322.0,1060.0,70.0,10.0,0.2,160.0,1360.0,58.0,2.0,14.0,54.0
A009,"START + SHARE
","WAGYU BEEF CARPACCIO
",,,"peppercorn-crusted wagyu beef, bearnaise aioli, capers, arugula, pickled onions, freshly grated horseradish, garlic crostini",$21 ,,,297.0,1090.0,89.0,31.0,2.0,135.0,1890.0,56.0,4.0,3.0,25.0
A010,"START + SHARE
","MINI CRISPY CHICKEN SANDWICHES
",,,"spicy panko-crusted chicken, swiss cheese, sambal mayo, lettuce, tomato, pickle, onion",$17.25 ,,,356.0,980.0,67.0,26.0,1.0,200.0,1110.0,41.0,4.0,24.0,44.0
A011,"START + SHARE
","MINI BURGERS
",,,"smashed certified angus beef®, cheddar, bacon, lettuce, tomato, red pepper relish, dijon mayonnaise",$17.25 ,,,345.0,930.0,65.0,19.0,1.0,180.0,1680.0,49.0,4.0,26.0,34.0
A012,"START + SHARE
","CHICKEN WINGS
",,,"salt & pepper or louisiana hot, celery, creamy parmesan dip",$18.75 ,,,259.0,850.0,55.0,15.0,0.5,350.0,330.0,0.0,0.0,0.0,83.0
A013,"START + SHARE
","SZECHUAN CHICKEN LETTUCE WRAPS
",,,"sweet and spicy szechuan chicken, peanuts, wontons, korean chili sauce, spicy yogurt",$21.75 ,,,671.0,1320.0,81.0,10.0,0.1,145.0,1950.0,100.0,6.0,39.0,66.0
